decimalLongitude,decimalLatitude
-121.69,45.69
-122.08,45.59
-122.2,45.57
-121.78,45.67
-121.65,45.67
-121.77,45.74
-121.78,45.63
-121.74,45.77
-122.18,45.89
-121.67,46.24
-121.73,45.6
-122.06,45.59
-121.64,45.7
-122.11,45.62
-122.09,45.55
-121.84,45.86
-122.09,45.53
-121.84,45.71
-121.953,46.025
-122.02,45.63
-121.92,46.02
-121.61,46.53
-122.22,46.09
-122.11,45.627
-122.22,46.12
-121.97,45.79
-121.711,45.676
-121.686,45.678
-122.03,45.75
-122.13,45.52
-122.12,45.58
-121.644,45.7
-122.056,45.593
-122.12,45.609
-120.97,47.134
-121.621,45.713
-121.693,45.687
-121.843,45.712
-122.114,45.615
-121.862,45.681
-122.016,45.662
-121.686,45.724
-122.127,45.573
-121.671,45.711
-122.18,45.553
-121.811,45.555
-122.105,45.58
-121.801,45.582
-121.892,45.588
-121.846,45.681
-121.769,45.689
-121.665,45.694
-121.175,47.267
-121.272,47.268
-120.832,47.275
-121.22,47.308
-121.302,47.308
-120.826,47.311
-121.231,47.331
-121.213,47.337
-121.249,47.359
-121.327,47.36
-121.232,47.362
-121.158,47.363
-121.249,47.389
-121.167,47.417
-122.193,45.576
-122.244,45.794
-121.749,45.801
-122.109,45.848
-121.886,45.857
-122.233,46.072
-121.756,46.075
-121.799,46.211
-121.813,46.231
-121.713,46.686
-122.22,46.09
-121.956,46.16
-122.033,46.205
-121.852,46.221
-121.782,46.222
-121.834,46.222
-121.979,46.234
-121.845,46.236
-121.864,46.237
-121.857,46.239
-122.145,46.243
-122.121,46.252
-122.07,46.26
-122.065,46.261
-123.54,46.27
-122.13,46.27
-122.134,46.273
-122.095,46.274
-122.134,46.277
-122.096,46.279
-122.089,46.279
-122.087,46.288
-121.992,46.29
-122.121,46.29
-122.002,46.292
-122.061,46.293
-122.14,46.3
-122.07,46.299
-122.047,46.315
-123.439,46.324
-123.455,46.32
-122.123,46.329
-123.51,46.34
-123.457,46.343
-123.55,46.35
-121.99,46.374
-123.916,46.418
-123.948,46.427
-123.96,46.43
-123.931,46.446
-123.66,46.45
-123.79,46.5
-123.795,46.5
-123.67,46.54
-123.74,46.55
-123.72,46.56
-122.514,46.578
-123.7,46.58
-122.37,46.58
-122.365,46.581
-122.275,46.583
-123.76,46.591
-122.279,46.59
-123.89,46.6
-122.304,46.601
-123.894,46.602
-122.311,46.603
-122.373,46.604
-122.233,46.605
-122.29,46.61
-122.383,46.613
-122.369,46.615
-122.26,46.62
-122.256,46.631
-123.62,46.64
-123.805,46.663
-123.67,46.69
-122.321,46.696
-122.32,46.7
-122.26,46.74
-121.728,46.783
-121.757,46.785
-121.916,46.833
-121.907,46.834
-121.537,46.839
-121.841,46.914
-121.843,46.915
-121.871,46.919
-121.796,46.951
-121.826,46.971
-121.961,46.975
-121.95,46.98
-121.945,46.981
-123.2,47.312
-123.22,47.42
-123.561,47.446
-123.56,47.45
-123.861,47.46
-123.83,47.48
-123.28,47.49
-123.33,47.51
-123.89,47.52
-123.771,47.523
-123.7,47.53
-123.698,47.534
-123.619,47.559
-123.38,47.56
-123.36,47.56
-123.375,47.563
-123.7,47.57
-123.83,47.79
-123.852,47.837
-123.85,47.84
-124.26,47.87
-124.385,47.95
-124.04,47.99
-123.789,48.058
-123.79,48.06
-124.17,48.077
-116.288,46.565
-116.292,46.567
-115.508,46.626
-115.551,46.73
-115.671,46.785
-115.465,46.817
-115.491,46.833
-115.466,46.839
-116.64,46.857
-115.624,46.873
-116.653,46.968
-115.406,47.142
-115.409,47.152
-115.405,47.176
-115.491,47.184
-115.847,47.189
-115.517,47.202
-115.843,47.21
-115.843,47.227
-115.54,47.233
-115.846,47.237
-115.856,47.248
-115.839,47.248
-115.86,47.249
-115.889,47.253
-115.839,47.254
-115.876,47.255
-116.147,47.264
-115.856,47.265
-115.789,47.265
-116.226,47.271
-115.773,47.273
-116.274,47.317
-115.76,47.319
-116.79,47.53
-116.793,47.533
-116.66,47.6
-116.684,47.617
-116.65,47.62
-116.665,47.619
-116.78,47.678
-116.036,47.762
-116.051,47.773
-116.049,47.776
-116.067,47.795
-115.938,47.796
-116.076,47.807
-115.98,48.24
-115.831,48.245
-115.992,48.425
-115.77,48.45
-115.247,48.587
-116.046,48.605
-116.073,48.608
-115.307,48.63
-115.311,48.635
-116.118,48.806
-117.408,49.044
-116.717,49.342
-116.901,49.836
-116.901,50.406
-115.297,46.046
-115.515,46.085
-115.674,46.138
-115.537,46.216
-115.432,46.227
-115.416,46.233
-115.4,46.252
-115.392,46.275
-115.39,46.28
-115.362,46.316
-116.09,46.73
-117.52,51.27
-115.48,46.21
-116.63,49.25
-114.92,47.15
-114.83,47.04
-116.64,47.73
-116.71,49.33
-114.82,47.29
-114.87,47.06
-114.86,47.15
-116.73,47.62
-116.68,47.62
-116.82,47.67
-116.67,47.62
-115.39,46.27
-115.4,46.25
-115.99,48.43
-115.83,48.24
-116.05,48.61
-116.78,47.55
-115.78,48.45
-115.41,47.72
-114.82,47.39
-115.38,47.87
-115.1,47.68
-115.12,47.66
-115.26,48.59
-115.24,48.6
-115.65,48.44
-115.76,48.45
-115.93,48.5
-115.81,48.47
-116.04,48.61
-116.18,46.74
-115.86,48.02
-115.57,47.7
-115.8,48.45
-115.66,47.74
-115.43,47.73
-115.65,48.66